Key,transaction_date,subscription_id,user_id,subscription_start,subscription_end,subscription_status,provider,service,Charge,transcationstatus,Active
43533292058040,2019/03/09,292058040,46469342,2019/03/09,2019/06/07,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,90
43533292032661,2019/03/09,292032661,46028997,2019/03/09,2019/06/07,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,90
43106177422244,2018/01/06,177422244,25993923,2018/01/06,2019/06/06,Cancelled,Provider B,Cooking Recipes,#N/A,#N/A,516
43145187975458,2018/02/14,187975458,27372898,2018/02/14,2019/06/06,Cancelled,Provider A,GOT Spoilers,#N/A,#N/A,477
43155190566727,2018/02/24,190566727,1310487,2018/02/24,2019/06/06,Cancelled,Provider A,Cooking Recipes,#N/A,#N/A,467
43166193269743,2018/03/07,193269743,31561799,2018/03/07,2019/06/06,Cancelled,Provider A,GOT Spoilers,#N/A,#N/A,456
43190200021126,2018/03/31,200021126,11401480,2018/03/31,2019/06/06,Cancelled,Provider B,Cool Songs,#N/A,#N/A,432
43197201498295,2018/04/07,201498295,22389471,2018/04/07,2019/06/06,Cancelled,Provider B,Cool Songs,#N/A,#N/A,425
43198201676059,2018/04/08,201676059,33012579,2018/04/08,2019/06/06,Cancelled,Provider A,Cooking Recipes,#N/A,#N/A,424
43279220928215,2018/06/28,220928215,20533852,2018/06/28,2019/06/06,Cancelled,Provider B,Cool Songs,#N/A,#N/A,343
43297225618860,2018/07/16,225618860,29283123,2018/07/16,2019/06/06,Cancelled,Provider A,Pokemon-Go Locations,#N/A,#N/A,325
43305228024137,2018/07/24,228024137,23952654,2018/07/24,2019/06/06,Cancelled,Provider B,Cool Songs,#N/A,#N/A,317
43449270028054,2018/12/15,270028054,43051395,2018/12/15,2019/06/06,Cancelled,Provider A,Pokemon-Go Locations,#N/A,#N/A,173
43481278595840,2019/01/16,278595840,12731456,2019/01/16,2019/06/06,Cancelled,Provider A,Cool Songs,300,Failed,141
43496282681145,2019/01/31,282681145,44941230,2019/01/31,2019/06/06,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,126
43512286356192,2019/02/16,286356192,43311214,2019/02/16,2019/06/06,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,110
43530291449411,2019/03/06,291449411,2712288,2019/03/06,2019/06/06,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,92
43531291691314,2019/03/07,291691314,46490486,2019/03/07,2019/06/06,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,91
43531291703883,2019/03/07,291703883,46587135,2019/03/07,2019/06/06,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,91
43531291678454,2019/03/07,291678454,9184537,2019/03/07,2019/06/06,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,91
43531291750940,2019/03/07,291750940,46215911,2019/03/07,2019/06/06,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,91
43531291734226,2019/03/07,291734226,6417642,2019/03/07,2019/06/06,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,91
43531291733211,2019/03/07,291733211,32763581,2019/03/07,2019/06/06,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,91
43532291802979,2019/03/08,291802979,39096360,2019/03/08,2019/06/06,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,90
43532291921413,2019/03/08,291921413,15439289,2019/03/08,2019/06/06,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,90
43532291814698,2019/03/08,291814698,15434028,2019/03/08,2019/06/06,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,90
43532291775092,2019/03/08,291775092,32970991,2019/03/08,2019/06/06,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,90
43071166059272,2017/12/02,166059272,17128741,2017/12/02,2019/06/05,Cancelled,Provider B,Cooking Recipes,#N/A,#N/A,550
43140187064136,2018/02/09,187064136,20983602,2018/02/09,2019/06/05,Cancelled,Provider B,Cool Songs,#N/A,#N/A,481
43168194024407,2018/03/09,194024407,1353739,2018/03/09,2019/06/05,Cancelled,Provider A,GOT Spoilers,#N/A,#N/A,453
43173195300575,2018/03/14,195300575,1673747,2018/03/14,2019/06/05,Cancelled,Provider A,Cool Songs,#N/A,#N/A,448
43179197005483,2018/03/20,197005483,32092083,2018/03/20,2019/06/05,Cancelled,Provider B,Cool Songs,#N/A,#N/A,442
43187199225604,2018/03/28,199225604,25662829,2018/03/28,2019/06/05,Cancelled,Provider B,Cool Songs,#N/A,#N/A,434
43222208352550,2018/05/02,208352550,25271357,2018/05/02,2019/06/05,Cancelled,Provider B,Cool Songs,#N/A,#N/A,399
43281221371747,2018/06/30,221371747,35760656,2018/06/30,2019/06/05,Cancelled,Provider B,Cool Songs,#N/A,#N/A,340
43305227918407,2018/07/24,227918407,24730519,2018/07/24,2019/06/05,Cancelled,Provider B,Cool Songs,#N/A,#N/A,316
43500283845306,2019/02/04,283845306,31273919,2019/02/04,2019/06/05,Cancelled,Provider B,Cool Songs,300,Failed,121
43530291486056,2019/03/06,291486056,12562004,2019/03/06,2019/06/05,Cancelled,Provider A,Pokemon-Go Locations,200,Success,91
43530291493320,2019/03/06,291493320,44070208,2019/03/06,2019/06/05,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,91
43530291514672,2019/03/06,291514672,43355839,2019/03/06,2019/06/05,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,91
43531291727280,2019/03/07,291727280,42918703,2019/03/07,2019/06/05,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,90
43531291728731,2019/03/07,291728731,34481967,2019/03/07,2019/06/05,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,90
43531291621312,2019/03/07,291621312,10259254,2019/03/07,2019/06/05,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,90
43531291657759,2019/03/07,291657759,5809496,2019/03/07,2019/06/05,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,90
43150189435840,2018/02/19,189435840,11032198,2018/02/19,2019/06/04,Cancelled,Provider B,Cooking Recipes,#N/A,#N/A,470
43196201332360,2018/04/06,201332360,18746045,2018/04/06,2019/06/04,Cancelled,Provider B,Cool Songs,#N/A,#N/A,424
43203203236800,2018/04/13,203236800,10722886,2018/04/13,2019/06/04,Cancelled,Provider B,Cool Songs,#N/A,#N/A,417
43270218852391,2018/06/19,218852391,12267891,2018/06/19,2019/06/04,Cancelled,Provider A,Pokemon-Go Locations,#N/A,#N/A,350
43280221115975,2018/06/29,221115975,25338941,2018/06/29,2019/06/04,Cancelled,Provider B,Cool Songs,#N/A,#N/A,340
43305227965246,2018/07/24,227965246,37469518,2018/07/24,2019/06/04,Cancelled,Provider B,Cool Songs,#N/A,#N/A,315
43306228132569,2018/07/25,228132569,18646258,2018/07/25,2019/06/04,Cancelled,Provider B,Cool Songs,#N/A,#N/A,314
43315230922018,2018/08/03,230922018,18714904,2018/08/03,2019/06/04,Cancelled,Provider B,Cool Songs,#N/A,#N/A,305
43482278876152,2019/01/17,278876152,32712165,2019/01/17,2019/06/04,Cancelled,Provider B,Cool Songs,300,Failed,138
43485279486838,2019/01/20,279486838,40153930,2019/01/20,2019/06/04,Cancelled,Provider B,Cool Songs,300,Failed,135
43514286739887,2019/02/18,286739887,45890498,2019/02/18,2019/06/04,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,106
43529291307309,2019/03/05,291307309,46505966,2019/03/05,2019/06/04,Cancelled,Provider A,Cool Songs,300,Failed,91
43530291338446,2019/03/06,291338446,46512869,2019/03/06,2019/06/04,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,90
43530291439388,2019/03/06,291439388,44430189,2019/03/06,2019/06/04,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,90
43530291382079,2019/03/06,291382079,46521650,2019/03/06,2019/06/04,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,90
43530291495236,2019/03/06,291495236,5789466,2019/03/06,2019/06/04,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,90
43166193214088,2018/03/07,193214088,10643375,2018/03/07,2019/06/04,Cancelled,Provider B,GOT Spoilers,#N/A,#N/A,454
43081168788732,2017/12/12,168788732,23901838,2017/12/12,2019/06/03,Cancelled,Provider B,Cooking Recipes,#N/A,#N/A,538
43167193811244,2018/03/08,193811244,20752137,2018/03/08,2019/06/03,Cancelled,Provider A,GOT Spoilers,#N/A,#N/A,452
43227209394062,2018/05/07,209394062,25202313,2018/05/07,2019/06/03,Cancelled,Provider B,Cool Songs,#N/A,#N/A,392
43287222854033,2018/07/06,222854033,11337735,2018/07/06,2019/06/03,Cancelled,Provider B,Cool Songs,#N/A,#N/A,332
43301226793810,2018/07/20,226793810,10520030,2018/07/20,2019/06/03,Cancelled,Provider B,Cool Songs,#N/A,#N/A,318
43305227944279,2018/07/24,227944279,19889337,2018/07/24,2019/06/03,Cancelled,Provider B,Cool Songs,#N/A,#N/A,314
43350241451257,2018/09/07,241451257,39158075,2018/09/07,2019/06/03,Cancelled,Provider A,Pokemon-Go Locations,#N/A,#N/A,269
43416261182857,2018/11/12,261182857,37900440,2018/11/12,2019/06/03,Cancelled,Provider A,Pokemon-Go Locations,#N/A,#N/A,203
43509285808882,2019/02/13,285808882,45677341,2019/02/13,2019/06/03,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,110
43140187046609,2018/02/09,187046609,767334,2018/02/09,2019/06/03,Cancelled,Provider A,Cool Songs,#N/A,#N/A,479
43140187035365,2018/02/09,187035365,22552155,2018/02/09,2019/06/03,Cancelled,Provider B,Cool Songs,#N/A,#N/A,479
43528291128455,2019/03/04,291128455,46467608,2019/03/04,2019/06/03,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,91
