date of birth,number of people
1966_04_02,185
1966_05_12,185
1966_09_22,185
1966_10_23,185
1967_06_08,185
1967_08_28,185
1967_09_06,185
1967_09_17,185
1967_12_01,185
1968_01_07,185
1968_01_08,185
1968_04_16,185
1968_09_21,185
1968_12_10,185
1969_04_05,185
1969_04_14,185
1969_09_19,185
1969_11_02,185
1970_02_03,185
1970_04_14,185
1970_06_11,185
1970_06_26,185
1970_09_01,185
1972_06_26,185
1972_09_23,185
1973_01_05,185
1957_06_15,184
1957_11_11,184
1958_07_23,184
1958_09_03,184
1958_09_22,184
1958_11_24,184
1959_04_10,184
1959_10_03,184
1959_12_06,184
1960_01_20,184
1960_04_27,184
1960_08_04,184
1960_08_14,184
1960_10_29,184
1960_11_15,184
1960_12_26,184
1961_01_04,184
1961_01_06,184
1961_05_15,184
1961_10_12,184
1962_02_04,184
1962_05_18,184
1962_09_28,184
1962_10_20,184
1962_11_12,184
1963_01_18,184
1963_02_14,184
1963_02_20,184
1963_06_24,184
1963_08_12,184
1963_10_16,184
1963_11_03,184
1964_04_09,184
1964_05_25,184
1964_06_30,184
1964_07_25,184
1964_10_07,184
1965_12_28,184
1966_01_12,184
1966_02_12,184
1966_05_10,184
1966_10_20,184
1966_12_18,184
1967_01_17,184
1967_03_16,184
1968_03_08,184
1968_09_06,184
1968_11_05,184
1968_12_03,184
1969_08_10,184
1970_01_12,184
1970_09_07,184
1970_09_25,184
1970_09_26,184
1970_11_12,184
1970_12_20,184
1953_12_25,183
1957_06_30,183
1958_09_14,183
1958_12_05,183
1958_12_23,183
1959_11_29,183
1960_01_06,183
1960_05_13,183
1960_09_29,183
1960_12_03,183
1961_01_12,183
1961_05_06,183
1961_11_12,183
1962_02_14,183
1962_02_23,183
1962_03_24,183
1962_04_08,183
1962_06_17,183
1963_02_07,183
1963_04_24,183
1963_08_15,183
1963_09_07,183
1963_10_01,183
1963_11_05,183
1963_12_06,183
1963_12_08,183
1964_07_08,183
1964_10_15,183
1964_12_04,183
1964_12_08,183
1965_06_26,183
1965_08_05,183
1965_08_06,183
1965_08_18,183
1965_09_17,183
1966_03_02,183
1966_08_25,183
1966_12_28,183
1967_03_28,183
1967_04_20,183
1967_05_04,183
1967_05_06,183
1967_06_07,183
1967_11_11,183
1968_02_03,183
1968_03_07,183
1969_01_10,183
1969_02_16,183
1969_09_27,183
1970_02_10,183
1970_05_01,183
1970_09_17,183
1971_01_02,183
1972_01_03,183
1972_03_10,183
1972_06_03,183
1944_01_01,182
1950_06_06,182
1955_04_04,182
1955_06_20,182
1955_09_09,182
1957_02_05,182
1957_06_10,182
1957_09_07,182
1957_11_15,182
1958_01_25,182
1958_05_28,182
1958_06_02,182
1958_08_16,182
1958_11_12,182
1958_12_31,182
1959_05_01,182
1959_05_10,182
1959_08_10,182
1960_04_01,182
1960_06_08,182
1960_11_02,182
1960_12_14,182
1961_07_27,182
1961_09_14,182
1962_02_08,182
1962_03_22,182
1962_04_07,182
1962_04_11,182
1962_05_06,182
1962_05_20,182
1962_05_31,182
1962_12_05,182
1962_12_17,182
1963_04_17,182
1963_05_03,182
1963_11_04,182
1963_11_18,182
1963_12_04,182
1964_01_25,182
1964_02_03,182
1964_03_07,182
1964_06_26,182
1964_07_20,182
1964_08_16,182
1964_09_01,182
1964_10_16,182
1964_12_28,182
1965_04_11,182
1965_05_12,182
1965_07_27,182
1965_09_01,182
1965_09_03,182
1965_09_13,182
1966_09_06,182
1966_12_02,182
1967_09_02,182
1968_01_06,182
1968_02_01,182
1968_05_12,182
1968_07_14,182
1968_11_04,182
1968_11_18,182
1968_11_24,182
1969_06_09,182
1969_08_04,182
1969_09_12,182
1969_10_07,182
1970_06_04,182
1971_06_16,182
1956_12_12,181
1957_06_16,181
1958_03_28,181
1958_07_11,181
1958_12_10,181
1958_12_28,181
1959_08_24,181
1959_11_09,181
